prod_id,prod_desc
91,Product description 1
91,Product description 2
91,Product description 3
91,Product description 4
91,Product description 5
92,Product description 1
92,Product description 2
92,Product description 3
92,Product description 4
92,Product description 5
93,Product description 1
93,Product description 2
93,Product description 3
93,Product description 4
93,Product description 5
94,Product description 1
94,Product description 2
94,Product description 3
94,Product description 4
94,Product description 5
95,Product description 1
95,Product description 2
95,Product description 3
95,Product description 4
95,Product description 5
96,Product description 1
96,Product description 2
96,Product description 3
96,Product description 4
96,Product description 5
97,Product description 1
97,Product description 2
97,Product description 3
97,Product description 4
97,Product description 5
98,Product description 1
98,Product description 2
98,Product description 3
98,Product description 4
98,Product description 5
99,Product description 1
99,Product description 2
99,Product description 3
99,Product description 4
99,Product description 5
100,Product description 1
100,Product description 2
100,Product description 3
100,Product description 4
100,Product description 5
101,Product description 1
101,Product description 2
101,Product description 3
101,Product description 4
101,Product description 5
102,Product description 1
102,Product description 2
102,Product description 3
102,Product description 4
102,Product description 5
103,Product description 1
103,Product description 2
103,Product description 3
103,Product description 4
103,Product description 5
104,Product description 1
104,Product description 2
104,Product description 3
104,Product description 4
104,Product description 5
105,Product description 1
105,Product description 2
105,Product description 3
105,Product description 4
105,Product description 5
106,Product description 1
106,Product description 2
106,Product description 3
106,Product description 4
106,Product description 5
107,Product description 1
107,Product description 2
107,Product description 3
107,Product description 4
107,Product description 5
108,Product description 1
108,Product description 2
108,Product description 3
108,Product description 4
108,Product description 5
109,Product description 1
109,Product description 2
109,Product description 3
109,Product description 4
109,Product description 5
110,Product description 1
110,Product description 2
110,Product description 3
110,Product description 4
110,Product description 5
111,Product description 1
111,Product description 2
111,Product description 3
111,Product description 4
111,Product description 5
112,Product description 1
112,Product description 2
112,Product description 3
112,Product description 4
112,Product description 5
113,Product description 1
113,Product description 2
113,Product description 3
113,Product description 4
113,Product description 5
114,Product description 1
114,Product description 2
114,Product description 3
114,Product description 4
114,Product description 5
115,Product description 1
115,Product description 2
115,Product description 3
115,Product description 4
115,Product description 5
116,Product description 1
116,Product description 2
116,Product description 3
116,Product description 4
116,Product description 5
117,Product description 1
117,Product description 2
117,Product description 3
117,Product description 4
117,Product description 5
118,Product description 1
118,Product description 2
118,Product description 3
118,Product description 4
118,Product description 5
119,Product description 1
119,Product description 2
119,Product description 3
119,Product description 4
119,Product description 5
120,Product description 1
120,Product description 2
120,Product description 3
120,Product description 4
120,Product description 5
122,Product description 1
122,Product description 2
122,Product description 3
122,Product description 4
122,Product description 5
123,Product description 1
123,Product description 2
123,Product description 3
123,Product description 4
123,Product description 5
124,Product description 1
124,Product description 2
124,Product description 3
124,Product description 4
124,Product description 5
125,Product description 1
125,Product description 2
125,Product description 3
125,Product description 4
125,Product description 5
126,Product description 1
126,Product description 2
126,Product description 3
126,Product description 4
126,Product description 5
127,Product description 1
127,Product description 2
127,Product description 3
127,Product description 4
127,Product description 5
128,Product description 1
128,Product description 2
128,Product description 3
128,Product description 4
128,Product description 5
129,Product description 1
129,Product description 2
129,Product description 3
129,Product description 4
129,Product description 5
130,Product description 1
130,Product description 2
130,Product description 3
130,Product description 4
130,Product description 5
131,Product description 1
131,Product description 2
131,Product description 3
131,Product description 4
131,Product description 5
132,Product description 1
132,Product description 2
132,Product description 3
132,Product description 4
132,Product description 5
133,Product description 1
133,Product description 2
133,Product description 3
133,Product description 4
133,Product description 5
134,Product description 1
134,Product description 2
134,Product description 3
134,Product description 4
134,Product description 5
135,Product description 1
135,Product description 2
135,Product description 3
