sku,prod_id,size
,91,7
,91,7.5
,91,8
,91,8.5
,91,9
,91,9.5
,91,10
,91,10.5
,91,11
,91,11.5
,91,12
,91,12.5
,91,13
,91,13.5
,91,14
,92,7
,92,7.5
,92,8
,92,8.5
,92,9
,92,9.5
,92,10
,92,10.5
,92,11
,92,11.5
,92,12
,92,12.5
,92,13
,92,13.5
,92,14
,93,7
,93,7.5
,93,8
,93,8.5
,93,9
,93,9.5
,93,10
,93,10.5
,93,11
,93,11.5
,93,12
,93,12.5
,93,13
,93,13.5
,93,14
,94,7
,94,7.5
,94,8
,94,8.5
,94,9
,94,9.5
,94,10
,94,10.5
,94,11
,94,11.5
,94,12
,94,12.5
,94,13
,94,13.5
,94,14
,95,7
,95,7.5
,95,8
,95,8.5
,95,9
,95,9.5
,95,10
,95,10.5
,95,11
,95,11.5
,95,12
,95,12.5
,95,13
,95,13.5
,95,14
,96,7
,96,7.5
,96,8
,96,8.5
,96,9
,96,9.5
,96,10
,96,10.5
,96,11
,96,11.5
,96,12
,96,12.5
,96,13
,96,13.5
,96,14
,97,7
,97,7.5
,97,8
,97,8.5
,97,9
,97,9.5
,97,10
,97,10.5
,97,11
,97,11.5
,97,12
,97,12.5
,97,13
,97,13.5
,97,14
,98,7
,98,7.5
,98,8
,98,8.5
,98,9
,98,9.5
,98,10
,98,10.5
,98,11
,98,11.5
,98,12
,98,12.5
,98,13
,98,13.5
,98,14
,99,7
,99,7.5
,99,8
,99,8.5
,99,9
,99,9.5
,99,10
,99,10.5
,99,11
,99,11.5
,99,12
,99,12.5
,99,13
,99,13.5
,99,14
,100,7
,100,7.5
,100,8
,100,8.5
,100,9
,100,9.5
,100,10
,100,10.5
,100,11
,100,11.5
,100,12
,100,12.5
,100,13
,100,13.5
,100,14
,101,7
,101,7.5
,101,8
,101,8.5
,101,9
,101,9.5
,101,10
,101,10.5
,101,11
,101,11.5
,101,12
,101,12.5
,101,13
,101,13.5
,101,14
,102,7
,102,7.5
,102,8
,102,8.5
,102,9
,102,9.5
,102,10
,102,10.5
,102,11
,102,11.5
,102,12
,102,12.5
,102,13
,102,13.5
,102,14
,103,7
,103,7.5
,103,8
,103,8.5
,103,9
,103,9.5
,103,10
,103,10.5
,103,11
,103,11.5
,103,12
,103,12.5
,103,13
,103,13.5
,103,14
,104,7
,104,7.5
,104,8
,104,8.5
,104,9
,104,9.5
,104,10
,104,10.5
,104,11
,104,11.5
,104,12
,104,12.5
,104,13
,104,13.5
,104,14
,105,7
,105,7.5
,105,8
,105,8.5
,105,9
,105,9.5
,105,10
,105,10.5
,105,11
,105,11.5
,105,12
,105,12.5
,105,13
,105,13.5
,105,14
,106,7
,106,7.5
,106,8
,106,8.5
,106,9
,106,9.5
,106,10
,106,10.5
,106,11
,106,11.5
,106,12
,106,12.5
,106,13
,106,13.5
,106,14
,107,7
,107,7.5
,107,8
,107,8.5
,107,9
,107,9.5
,107,10
,107,10.5
,107,11
,107,11.5
,107,12
,107,12.5
,107,13
,107,13.5
,107,14
,108,7
,108,7.5
,108,8
,108,8.5
,108,9
,108,9.5
,108,10
,108,10.5
,108,11
,108,11.5
,108,12
,108,12.5
,108,13
,108,13.5
,108,14
,109,7
,109,7.5
,109,8
,109,8.5
,109,9
,109,9.5
,109,10
,109,10.5
,109,11
,109,11.5
,109,12
,109,12.5
,109,13
,109,13.5
,109,14
,110,7
,110,7.5
,110,8
,110,8.5
,110,9
,110,9.5
,110,10
,110,10.5
,110,11
,110,11.5
,110,12
,110,12.5
,110,13
,110,13.5
,110,14
,111,7
,111,7.5
,111,8
,111,8.5
,111,9
,111,9.5
,111,10
,111,10.5
,111,11
,111,11.5
,111,12
,111,12.5
,111,13
,111,13.5
,111,14
,112,7
,112,7.5
,112,8
,112,8.5
,112,9
,112,9.5
,112,10
,112,10.5
,112,11
,112,11.5
,112,12
,112,12.5
,112,13
,112,13.5
,112,14
,113,7
,113,7.5
,113,8
,113,8.5
,113,9
,113,9.5
,113,10
,113,10.5
,113,11
,113,11.5
,113,12
,113,12.5
,113,13
,113,13.5
,113,14
,114,7
,114,7.5
,114,8
,114,8.5
,114,9
,114,9.5
,114,10
,114,10.5
,114,11
,114,11.5
,114,12
,114,12.5
,114,13
,114,13.5
,114,14
,115,7
,115,7.5
,115,8
,115,8.5
,115,9
,115,9.5
,115,10
,115,10.5
,115,11
,115,11.5
,115,12
,115,12.5
,115,13
,115,13.5
,115,14
,116,7
,116,7.5
,116,8
,116,8.5
,116,9
,116,9.5
,116,10
,116,10.5
,116,11
,116,11.5
,116,12
,116,12.5
,116,13
,116,13.5
,116,14
,117,7
,117,7.5
,117,8
,117,8.5
,117,9
,117,9.5
,117,10
,117,10.5
,117,11
,117,11.5
,117,12
,117,12.5
,117,13
,117,13.5
,117,14
,118,7
,118,7.5
,118,8
,118,8.5
,118,9
,118,9.5
,118,10
,118,10.5
,118,11
,118,11.5
,118,12
,118,12.5
,118,13
,118,13.5
,118,14
,119,7
,119,7.5
,119,8
,119,8.5
,119,9
,119,9.5
,119,10
,119,10.5
,119,11
,119,11.5
,119,12
,119,12.5
,119,13
,119,13.5
,119,14
,120,7
,120,7.5
,120,8
,120,8.5
,120,9
,120,9.5
,120,10
,120,10.5
,120,11
,120,11.5
,120,12
,120,12.5
,120,13
,120,13.5
,120,14
,122,7
,122,7.5
,122,8
,122,8.5
,122,9
,122,9.5
,122,10
,122,10.5
,122,11
,122,11.5
,122,12
,122,12.5
,122,13
,122,13.5
,122,14
,123,7
,123,7.5
,123,8
,123,8.5
,123,9
,123,9.5
,123,10
,123,10.5
,123,11
,123,11.5
,123,12
,123,12.5
,123,13
,123,13.5
,123,14
,124,7
,124,7.5
,124,8
,124,8.5
,124,9
,124,9.5
,124,10
,124,10.5
,124,11
,124,11.5
,124,12
,124,12.5
,124,13
,124,13.5
,124,14
,125,7
,125,7.5
,125,8
,125,8.5
,125,9
,125,9.5
,125,10
,125,10.5
,125,11
,125,11.5
,125,12
,125,12.5
,125,13
,125,13.5
,125,14
,126,7
,126,7.5
,126,8
,126,8.5
,126,9
,126,9.5
,126,10
,126,10.5
,126,11
,126,11.5
,126,12
,126,12.5
,126,13
,126,13.5
,126,14
,127,7
,127,7.5
,127,8
,127,8.5
,127,9
,127,9.5
,127,10
,127,10.5
,127,11
,127,11.5
,127,12
,127,12.5
,127,13
,127,13.5
,127,14
,128,7
,128,7.5
,128,8
,128,8.5
,128,9
,128,9.5
,128,10
,128,10.5
,128,11
,128,11.5
,128,12
,128,12.5
,128,13
,128,13.5
,128,14
,129,7
,129,7.5
,129,8
,129,8.5
,129,9
,129,9.5
,129,10
,129,10.5
,129,11
,129,11.5
,129,12
,129,12.5
,129,13
,129,13.5
,129,14
,130,7
,130,7.5
,130,8
,130,8.5
,130,9
,130,9.5
,130,10
,130,10.5
,130,11
,130,11.5
,130,12
,130,12.5
,130,13
,130,13.5
,130,14
,131,7
,131,7.5
,131,8
,131,8.5
,131,9
,131,9.5
,131,10
,131,10.5
,131,11
,131,11.5
,131,12
,131,12.5
,131,13
,131,13.5
,131,14
,132,7
,132,7.5
,132,8
,132,8.5
,132,9
,132,9.5
,132,10
,132,10.5
,132,11
,132,11.5
,132,12
,132,12.5
,132,13
,132,13.5
,132,14
,133,7
,133,7.5
,133,8
,133,8.5
,133,9
,133,9.5
,133,10
,133,10.5
,133,11
,133,11.5
,133,12
,133,12.5
,133,13
,133,13.5
,133,14
,134,7
,134,7.5
,134,8
,134,8.5
,134,9
,134,9.5
,134,10
,134,10.5
,134,11
,134,11.5
,134,12
,134,12.5
,134,13
,134,13.5
,134,14
,135,7
,135,7.5
,135,8
,135,8.5
,135,9
,135,9.5
,135,10
,135,10.5
,135,11
,135,11.5
,135,12
,135,12.5
,135,13
,135,13.5
,135,14
,136,7
,136,7.5
,136,8
,136,8.5
,136,9
,136,9.5
,136,10
,136,10.5
,136,11
,136,11.5
,136,12
,136,12.5
,136,13
,136,13.5
,136,14
,137,7
,137,7.5
,137,8
,137,8.5
,137,9
,137,9.5
,137,10
,137,10.5
,137,11
,137,11.5
,137,12
,137,12.5
,137,13
,137,13.5
,137,14
,138,7
,138,7.5
,138,8
,138,8.5
,138,9
,138,9.5
,138,10
,138,10.5
,138,11
,138,11.5
,138,12
,138,12.5
,138,13
,138,13.5
,138,14
,139,7
,139,7.5
,139,8
,139,8.5
,139,9
,139,9.5
,139,10
,139,10.5
,139,11
,139,11.5
,139,12
,139,12.5
,139,13
,139,13.5
,139,14
,140,7
,140,7.5
,140,8
,140,8.5
,140,9
,140,9.5
,140,10
,140,10.5
,140,11
,140,11.5
,140,12
,140,12.5
,140,13
,140,13.5
,140,14
,141,7
,141,7.5
,141,8
,141,8.5
,141,9
,141,9.5
,141,10
,141,10.5
,141,11
,141,11.5
,141,12
,141,12.5
,141,13
,141,13.5
,141,14
,142,7
,142,7.5
,142,8
,142,8.5
,142,9
,142,9.5
,142,10
,142,10.5
,142,11
,142,11.5
,142,12
,142,12.5
,142,13
,142,13.5
,142,14
,143,7
,143,7.5
,143,8
,143,8.5
,143,9
,143,9.5
,143,10
,143,10.5
,143,11
,143,11.5
,143,12
,143,12.5
,143,13
,143,13.5
,143,14
,144,7
,144,7.5
,144,8
,144,8.5
,144,9
,144,9.5
,144,10
,144,10.5
,144,11
,144,11.5
,144,12
,144,12.5
,144,13
,144,13.5
,144,14
,145,7
,145,7.5
,145,8
,145,8.5
,145,9
,145,9.5
,145,10
,145,10.5
,145,11
,145,11.5
,145,12
,145,12.5
,145,13
,145,13.5
,145,14
,146,7
,146,7.5
,146,8
,146,8.5
,146,9
,146,9.5
,146,10
,146,10.5
,146,11
,146,11.5
,146,12
,146,12.5
,146,13
,146,13.5
,146,14
,147,7
,147,7.5
,147,8
,147,8.5
,147,9
,147,9.5
,147,10
,147,10.5
,147,11
,147,11.5
,147,12
,147,12.5
,147,13
,147,13.5
,147,14
,148,7
,148,7.5
,148,8
,148,8.5
,148,9
,148,9.5
,148,10
,148,10.5
,148,11
,148,11.5
,148,12
,148,12.5
,148,13
,148,13.5
,148,14
,149,7
,149,7.5
,149,8
,149,8.5
,149,9
,149,9.5
,149,10
,149,10.5
,149,11
,149,11.5
,149,12
,149,12.5
,149,13
,149,13.5
,149,14
,150,7
,150,7.5
,150,8
,150,8.5
,150,9
,150,9.5
,150,10
,150,10.5
,150,11
,150,11.5
,150,12
,150,12.5
,150,13
,150,13.5
,150,14
,151,7
,151,7.5
,151,8
,151,8.5
,151,9
,151,9.5
,151,10
,151,10.5
,151,11
,151,11.5
,151,12
,151,12.5
,151,13
,151,13.5
,151,14
,152,7
,152,7.5
,152,8
,152,8.5
,152,9
,152,9.5
,152,10
,152,10.5
,152,11
,152,11.5
,152,12
,152,12.5
,152,13
,152,13.5
,152,14
,153,7
,153,7.5
,153,8
,153,8.5
,153,9
,153,9.5
,153,10
,153,10.5
,153,11
,153,11.5
,153,12
,153,12.5
,153,13
,153,13.5
,153,14
,154,7
,154,7.5
,154,8
,154,8.5
,154,9
,154,9.5
,154,10
,154,10.5
,154,11
,154,11.5
,154,12
,154,12.5
,154,13
,154,13.5
,154,14
,155,7
,155,7.5
,155,8
,155,8.5
,155,9
,155,9.5
,155,10
,155,10.5
,155,11
,155,11.5
,155,12
,155,12.5
,155,13
,155,13.5
,155,14
,156,7
,156,7.5
,156,8
,156,8.5
,156,9
,156,9.5
,156,10
,156,10.5
,156,11
,156,11.5
,156,12
,156,12.5
,156,13
,156,13.5
,156,14
,157,7
,157,7.5
,157,8
,157,8.5
,157,9
,157,9.5
,157,10
,157,10.5
,157,11
,157,11.5
,157,12
,157,12.5
,157,13
,157,13.5
,157,14
,158,7
,158,7.5
,158,8
,158,8.5
,158,9
,158,9.5
,158,10
,158,10.5
,158,11
,158,11.5
,158,12
,158,12.5
,158,13
,158,13.5
,158,14
,159,7
,159,7.5
,159,8
,159,8.5
,159,9
,159,9.5
,159,10
,159,10.5
,159,11
,159,11.5
,159,12
,159,12.5
,159,13
,159,13.5
,159,14
,160,7
,160,7.5
,160,8
,160,8.5
,160,9
,160,9.5
,160,10
,160,10.5
,160,11
,160,11.5
,160,12
,160,12.5
,160,13
,160,13.5
,160,14
,161,7
,161,7.5
,161,8
,161,8.5
,161,9
